target_date,generated_at,sequence_rank,phase_order,phase_name,source_issue_type,severity,fixture_id,market_primary,sequence_state,sequence_reason,recommended_command,can_run_now,auto_run,production_change,guardrail_status
2026-05-24,2026-05-24T10:25:03+01:00,11,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1492273,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,12,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1545796,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,13,2,POST_RESULTS,NO_SIGNAL,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,14,2,POST_RESULTS,UNKNOWN_FAMILY,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,15,2,POST_RESULTS,UNKNOWN_RISK,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,16,2,POST_RESULTS,NO_SIGNAL,P3,1392205,OVER_2_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,17,2,POST_RESULTS,NO_SIGNAL,P3,1392205,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,18,2,POST_RESULTS,UNKNOWN_FAMILY,P3,1392205,OVER_2_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,19,2,POST_RESULTS,UNKNOWN_FAMILY,P3,1392205,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,20,2,POST_RESULTS,UNKNOWN_RISK,P3,1392205,OVER_2_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,21,2,POST_RESULTS,UNKNOWN_RISK,P3,1392205,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,22,3,LEARNING_REBUILD,MISSING_IDENTITY,P2,,UNKNOWN,WAIT_FOR_POST_RESULTS,Learning rebuild should happen after post-result labeling.,python scripts/build_learning_ledger.py --date 2026-05-24 --timezone Atlantic/Canary,NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,23,4,QUALITY_REVIEW,FOLLOWUP,P3,,UNKNOWN,WAIT_FOR_LEARNING_REBUILD,Quality review should be rerun after learning evidence is rebuilt.,"gh workflow run vsigma_data_quality_governor.yml -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,24,5,READINESS_REVIEW,FOLLOWUP,P3,,UNKNOWN,WAIT_FOR_QUALITY_REVIEW,Readiness should be reviewed only after data quality is refreshed.,"gh workflow run vsigma_pattern_promotion_readiness.yml -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
