target_date,generated_at,rank,fixture_id,home_team,away_team,base_decision,recheck_decision,primary_market,secondary_market,stake_band,lineup_status,minutes_to_kickoff,availability_status,gate_decision,forecast_confidence,translation_score,kill_switch,next_check,operator_note,source_guard,auto_apply,production_change
2026-05-31,2026-05-31T18:43:59+01:00,11,1494186,Degerfors IF,IF Brommapojkarna,NO_BET_OR_WATCH,NO_BET_OR_WATCH,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_PRELOCK,,,,,MEDIUM,18,NO_PORTFOLIO_CONTEXT,watch only,weak watch state,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,12,1546340,Gent,Genk,NO_BET_OR_WATCH,NO_BET_OR_WATCH,CORNERS_OVER_8_5_REVIEW,CORNERS_OVER_9_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,1,NO_PORTFOLIO_CONTEXT,watch only,weak watch state,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,13,1492286,Palmeiras,Chapecoense-sc,NO_BET_OR_WATCH,NO_BET_OR_WATCH,CORNERS_OVER_8_5_REVIEW,CORNERS_OVER_9_5_AGGRESSIVE,NO_STAKE_PRELOCK,,,,,LOW,-26,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,14,1396990,Burgos,FC Andorra,NO_BET,CANCELLED_NO_BET,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE,,,,,MEDIUM,18,NO_PORTFOLIO_CONTEXT,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,15,1392224,Deportivo La Coruna,Las Palmas,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,-10,NEGATIVE_TRANSLATION_SCORE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,16,1520703,Ceara,Operario-PR,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,17,1520706,Londrina,Vila Nova,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,18,1520708,São Bernardo,Novorizontino,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,19,1495696,AC Oulu,FF Jaro,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,20,1522821,Kauno Žalgiris,FK Zalgiris Vilnius,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,21,1526835,Anápolis,Maranhão,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,22,1526840,Guarani Campinas,Amazonas,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,23,1526841,Inter De Limeira,Ypiranga-RS,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,24,1526843,Santa Cruz,Ferroviária,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
