target_date,generated_at,fixture_id,home_team,away_team,api_readiness_gate,coverage_score,original_final_decision,final_decision,original_execution_permission,execution_permission,gate_action,gate_reason,missing_blocks,auto_apply,production_change
2026-05-29,2026-05-29T15:17:28+01:00,1494677,Brann,Sarpsborg 08 FF,WAIT_LINEUPS_OR_LIVE_ONLY,80.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1494679,KFUM Oslo,Tromso,WAIT_LINEUPS_OR_LIVE_ONLY,80.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1535218,America de Cali,Macara,WAIT_LINEUPS_OR_LIVE_ONLY,65.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE; injuries_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1533660,El Mokawloon,Future FC,WAIT_LINEUPS_OR_LIVE_ONLY,20.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1533662,Ghazl El Mehalla,Haras El Hodood,WAIT_LINEUPS_OR_LIVE_ONLY,20.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1533659,Masr,Kahraba Ismailia,WAIT_LINEUPS_OR_LIVE_ONLY,20.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1533658,National Bank of Egypt,Al Ittihad,WAIT_LINEUPS_OR_LIVE_ONLY,20.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1522819,FK Trakai,Suduva Marijampole,WAIT_LINEUPS_OR_LIVE_ONLY,15.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1522817,TransINVEST Vilnius,Hegelmann Litauen,WAIT_LINEUPS_OR_LIVE_ONLY,15.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1542934,Cde Juventud Italiana,Tecnico Universitario,WAIT_LINEUPS_OR_LIVE_ONLY,15.0,NO_BET,NO_BET,NO_BET,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
